Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,250,
2,10/9/2021,250,37869
3,10/16/2021,250,38246
4,10/23/2021,250,38710
5,10/30/2021,250,39106
6,11/6/2021,250,39431
7,11/13/2021,250,39921
8,11/20/2021,250,
9,11/27/2021,250,40333
10,12/4/2021,250,40673
11,12/11/2021,250,40981
12,12/18/2021,250,41293
13,12/25/2021,250,41501
14,1/1/2022,250,
15,1/8/2022,250,
16,1/15/2022,250,41819
17,1/22/2022,250,42652
18,1/29/2022,250,
19,2/5/2022,250,
20,2/12/2022,250,
21,2/19/2022,250,
22,2/26/2022,250,43441
23,3/5/2022,250,43630
24,3/12/2022,250,44092
25,3/19/2022,250,44618
26,3/26/2022,250,44948
27,4/2/2022,250,
28,4/9/2022,250,
29,4/16/2022,250,
