Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,243,20521
2,10/9/2021,243,20835
3,10/16/2021,243,21054
4,10/23/2021,243,21464
5,10/30/2021,243,21632
6,11/6/2021,243,22202
7,11/13/2021,243,22405
8,11/20/2021,243,22859
9,11/27/2021,243,23001
10,12/4/2021,243,23349
11,12/11/2021,243,23729
12,12/18/2021,243,23747
13,12/25/2021,243,23802
14,1/1/2022,243,23927
15,1/8/2022,243,24273
16,1/15/2022,243,24498
17,1/22/2022,243,
18,1/29/2022,243,
19,2/5/2022,243,24932
20,2/12/2022,243,25184
21,2/19/2022,243,25262
22,2/26/2022,243,25389
23,3/5/2022,243,25559
24,3/12/2022,243,25681
25,3/19/2022,243,26198
26,3/26/2022,243,26214
27,4/2/2022,243,
28,4/9/2022,243,
29,4/16/2022,243,
