Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,227,61603
2,10/9/2021,227,62373
3,10/16/2021,227,
4,10/23/2021,227,63546
5,10/30/2021,227,64388
6,11/6/2021,227,64810
7,11/13/2021,227,65202
8,11/20/2021,227,65492
9,11/27/2021,227,
10,12/4/2021,227,66632
11,12/11/2021,227,67774
12,12/18/2021,227,69270
13,12/25/2021,227,70314
14,1/1/2022,227,70904
15,1/8/2022,227,71186
16,1/15/2022,227,72056
17,1/22/2022,227,
18,1/29/2022,227,73014
19,2/5/2022,227,73354
20,2/12/2022,227,74414
21,2/19/2022,227,74964
22,2/26/2022,227,75302
23,3/5/2022,227,76314
24,3/12/2022,227,76810
25,3/19/2022,227,77354
26,3/26/2022,227,
27,4/2/2022,227,
28,4/9/2022,227,
29,4/16/2022,227,
