Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,740,
2,10/9/2021,740,127134
3,10/16/2021,740,127458
4,10/23/2021,740,128156
5,10/30/2021,740,128684
6,11/6/2021,740,129226
7,11/13/2021,740,
8,11/20/2021,740,130259
9,11/27/2021,740,
10,12/4/2021,740,131035
11,12/11/2021,740,
12,12/18/2021,740,132110
13,12/25/2021,740,132662
14,1/1/2022,740,
15,1/8/2022,740,133033
16,1/15/2022,740,
17,1/22/2022,740,134094
18,1/29/2022,740,134473
19,2/5/2022,740,134662
20,2/12/2022,740,135205
21,2/19/2022,740,135562
22,2/26/2022,740,135669
23,3/5/2022,740,136276
24,3/12/2022,740,136685
25,3/19/2022,740,
26,3/26/2022,740,137704
27,4/2/2022,740,
28,4/9/2022,740,
29,4/16/2022,740,
