Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,230,29119
2,10/9/2021,230,29816
3,10/16/2021,230,30301
4,10/23/2021,230,31230
5,10/30/2021,230,31911
6,11/6/2021,230,32658
7,11/13/2021,230,33548
8,11/20/2021,230,34409
9,11/27/2021,230,35223
10,12/4/2021,230,35968
11,12/11/2021,230,36760
12,12/18/2021,230,37170
13,12/25/2021,230,37814
14,1/1/2022,230,38412
15,1/8/2022,230,38787
16,1/15/2022,230,39387
17,1/22/2022,230,40062
18,1/29/2022,230,40685
19,2/5/2022,230,41246
20,2/12/2022,230,41992
21,2/19/2022,230,
22,2/26/2022,230,43144
23,3/5/2022,230,43611
24,3/12/2022,230,
25,3/19/2022,230,
26,3/26/2022,230,
27,4/2/2022,230,
28,4/9/2022,230,
29,4/16/2022,230,
