Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,186,
2,10/9/2021,186,116308
3,10/16/2021,186,116802
4,10/23/2021,186,117262
5,10/30/2021,186,117732
6,11/6/2021,186,118164
7,11/13/2021,186,118560
8,11/20/2021,186,119327
9,11/27/2021,186,119774
10,12/4/2021,186,120532
11,12/11/2021,186,121087
12,12/18/2021,186,121550
13,12/25/2021,186,
14,1/1/2022,186,
15,1/8/2022,186,
16,1/15/2022,186,123400
17,1/22/2022,186,124224
18,1/29/2022,186,124714
19,2/5/2022,186,125196
20,2/12/2022,186,
21,2/19/2022,186,126144
22,2/26/2022,186,126629
23,3/5/2022,186,127379
24,3/12/2022,186,127935
25,3/19/2022,186,
26,3/26/2022,186,129200
27,4/2/2022,186,130074
28,4/9/2022,186,130574
29,4/16/2022,186,130809
