Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,242,15250
2,10/9/2021,242,15510
3,10/16/2021,242,15800
4,10/23/2021,242,15930
5,10/30/2021,242,16230
6,11/6/2021,242,16650
7,11/13/2021,242,16905
8,11/20/2021,242,17055
9,11/27/2021,242,17145
10,12/4/2021,242,17330
11,12/11/2021,242,17480
12,12/18/2021,242,17630
13,12/25/2021,242,
14,1/1/2022,242,17830
15,1/8/2022,242,18030
16,1/15/2022,242,18410
17,1/22/2022,242,18590
18,1/29/2022,242,18870
19,2/5/2022,242,19240
20,2/12/2022,242,19640
21,2/19/2022,242,19800
22,2/26/2022,242,20160
23,3/5/2022,242,20390
24,3/12/2022,242,20645
25,3/19/2022,242,20975
26,3/26/2022,242,21605
27,4/2/2022,242,22080
28,4/9/2022,242,
29,4/16/2022,242,
