Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,237,26806
2,10/9/2021,237,27353
3,10/16/2021,237,27829
4,10/23/2021,237,
5,10/30/2021,237,28189
6,11/6/2021,237,28271
7,11/13/2021,237,
8,11/20/2021,237,29029
9,11/27/2021,237,29124
10,12/4/2021,237,29347
11,12/11/2021,237,29663
12,12/18/2021,237,30054
13,12/25/2021,237,30222
14,1/1/2022,237,
15,1/8/2022,237,30356
16,1/15/2022,237,30832
17,1/22/2022,237,31194
18,1/29/2022,237,31466
19,2/5/2022,237,31636
20,2/12/2022,237,31949
21,2/19/2022,237,32215
22,2/26/2022,237,32290
23,3/5/2022,237,32656
24,3/12/2022,237,
25,3/19/2022,237,
26,3/26/2022,237,33403
27,4/2/2022,237,
28,4/9/2022,237,
29,4/16/2022,237,
