Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,190,
2,10/9/2021,190,124034
3,10/16/2021,190,124523
4,10/23/2021,190,125084
5,10/30/2021,190,125604
6,11/6/2021,190,126140
7,11/13/2021,190,126727
8,11/20/2021,190,127277
9,11/27/2021,190,
10,12/4/2021,190,128093
11,12/11/2021,190,128472
12,12/18/2021,190,128812
13,12/25/2021,190,
14,1/1/2022,190,
15,1/8/2022,190,
16,1/15/2022,190,130051
17,1/22/2022,190,130397
18,1/29/2022,190,130631
19,2/5/2022,190,
20,2/12/2022,190,131032
21,2/19/2022,190,131358
22,2/26/2022,190,131512
23,3/5/2022,190,131924
24,3/12/2022,190,132171
25,3/19/2022,190,132474
26,3/26/2022,190,132996
27,4/2/2022,190,133382
28,4/9/2022,190,133966
29,4/16/2022,190,134417
