Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,235,36378
2,10/9/2021,235,37110
3,10/16/2021,235,37917
4,10/23/2021,235,38715
5,10/30/2021,235,39405
6,11/6/2021,235,40161
7,11/13/2021,235,40597
8,11/20/2021,235,41512
9,11/27/2021,235,41778
10,12/4/2021,235,42222
11,12/11/2021,235,42980
12,12/18/2021,235,43122
13,12/25/2021,235,43924
14,1/1/2022,235,44508
15,1/8/2022,235,45232
16,1/15/2022,235,46203
17,1/22/2022,235,46929
18,1/29/2022,235,47791
19,2/5/2022,235,48313
20,2/12/2022,235,
21,2/19/2022,235,49176
22,2/26/2022,235,49797
23,3/5/2022,235,50964
24,3/12/2022,235,51237
25,3/19/2022,235,
26,3/26/2022,235,52665
27,4/2/2022,235,53372
28,4/9/2022,235,
29,4/16/2022,235,
