Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,234,60400
2,10/9/2021,234,61400
3,10/16/2021,234,62307
4,10/23/2021,234,
5,10/30/2021,234,64072
6,11/6/2021,234,64883
7,11/13/2021,234,65500
8,11/20/2021,234,66345
9,11/27/2021,234,66783
10,12/4/2021,234,67530
11,12/11/2021,234,68070
12,12/18/2021,234,68841
13,12/25/2021,234,
14,1/1/2022,234,69517
15,1/8/2022,234,70263
16,1/15/2022,234,71095
17,1/22/2022,234,71751
18,1/29/2022,234,72405
19,2/5/2022,234,72832
20,2/12/2022,234,73536
21,2/19/2022,234,74000
22,2/26/2022,234,74629
23,3/5/2022,234,75805
24,3/12/2022,234,76240
25,3/19/2022,234,76994
26,3/26/2022,234,77467
27,4/2/2022,234,78000
28,4/9/2022,234,
29,4/16/2022,234,
