Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,241,26484
2,10/9/2021,241,26768
3,10/16/2021,241,27085
4,10/23/2021,241,27276
5,10/30/2021,241,27611
6,11/6/2021,241,28008
7,11/13/2021,241,28262
8,11/20/2021,241,28541
9,11/27/2021,241,28858
10,12/4/2021,241,29307
11,12/11/2021,241,29615
12,12/18/2021,241,30026
13,12/25/2021,241,30400
14,1/1/2022,241,30646
15,1/8/2022,241,30797
16,1/15/2022,241,30979
17,1/22/2022,241,31178
18,1/29/2022,241,31611
19,2/5/2022,241,31961
20,2/12/2022,241,32425
21,2/19/2022,241,32809
22,2/26/2022,241,32919
23,3/5/2022,241,33323
24,3/12/2022,241,33637
25,3/19/2022,241,33736
26,3/26/2022,241,34047
27,4/2/2022,241,
28,4/9/2022,241,
29,4/16/2022,241,
