Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,248,13565
2,10/9/2021,248,14315
3,10/16/2021,248,15042
4,10/23/2021,248,15637
5,10/30/2021,248,16258
6,11/6/2021,248,16999
7,11/13/2021,248,17674
8,11/20/2021,248,18135
9,11/27/2021,248,
10,12/4/2021,248,
11,12/11/2021,248,
12,12/18/2021,248,
13,12/25/2021,248,
14,1/1/2022,248,
15,1/8/2022,248,
16,1/15/2022,248,
17,1/22/2022,248,
18,1/29/2022,248,40075
19,2/5/2022,248,40820
20,2/12/2022,248,
21,2/19/2022,248,42645
22,2/26/2022,248,43555
23,3/5/2022,248,44225
24,3/12/2022,248,45195
25,3/19/2022,248,
26,3/26/2022,248,46900
27,4/2/2022,248,
28,4/9/2022,248,
29,4/16/2022,248,
